id,status,wbs,act_name,duration,start,finish,floor_id
NA.PR150,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Plumbing Finishes @ Public Restrooms,2,8-Apr-16,13-Apr-16,PR
NA.PR160,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Electrical Finishes @ Public Restrooms,5,,,PR
NA.PR170,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Lighting @ Public Restrooms,4,24-Mar-16,25-Mar-16,PR
NA.PR173,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install FA Devices @ Public Restrooms,5,28-Mar-16,1-Apr-16,PR
NA.PR185,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Ceiling Tile @ Public Restrooms,5,,,PR
NA.PR230,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Flooring @ Public Restrooms,6,,,PR
NA.PR250,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Architectural Finishes & Trim  @ Public Restrooms,10,,,PR
NA.PR270,Not Started,BH.BL-4.115 Nassau1.Floors.4,Install Corridor Flooring @ Public Restrooms,5,,,PR
NA.PR280,Not Started,BH.BL-4.115 Nassau1.Floors.4,Perform Plumbing & Sprinkler Finish Inspection @ Public Restrooms,1,,,PR
NA.PR290,Not Started,BH.BL-4.115 Nassau1.Floors.4,Final Paint @ Public Restrooms,4,,,PR
NA.PR300,Not Started,BH.BL-4.115 Nassau1.Floors.4,Punchlist  @ Public Restrooms,5,,,PR
